concept,deps,dep_articles
One Thousand and One Nights,"['collection', 'story', 'collection']","['Mathematics', 'Parity (mathematics)', 'Mathematics']"
Series (mathematics),"['sequence', 'element', 'number']","['Sequence', 'Element (mathematics)', 'Number']"
Cryptography,"['encoding', 'system', 'information']","['OMS encoding', 'Mathematics', 'Mathematics']"
Poietic Generator,"['number', 'sequence', 'generate']","['Number', 'Sequence', 'Generator (mathematics)']"
Kronecker delta,"['asymmetry', 'measure', 'distribution']","['Asymmetry', 'Measure (mathematics)', 'Distribution (mathematics)']"
Substitution (logic),"['operation', 'change', 'value']","['Operation (mathematics)', 'Rate (mathematics)', 'Truth value']"
Surjective function,"['subdomain', 'function', 'domain']","['Flow (mathematics)', 'Function (mathematics)', 'Domain (mathematical analysis)']"
Quotient graph,"['number', 'graph', 'edge']","['Number', 'Graph (discrete mathematics)', 'Graph (discrete mathematics)']"
Victorian era,"['time', 'world', 'Empire']","['Local time (mathematics)', 'New Math', 'Ottoman Empire']"
Exterior derivative,"['point', 'function', 'derivative']","['Point (geometry)', 'Function (mathematics)', 'Derivative']"
Factorization,"['number', 'factor', 'number']","['Number', 'Factor', 'Number']"
Globalization,"['globalization', 'integration', 'economy']","['Integral', 'Economy']"
Difference of two squares,"['square', 'difference', 'square root']","['Square', 'Finite difference', 'Square root']"
Lorentz transformation,"['translation', 'transformation', 'observer']","['Translation (geometry)', 'Transformation (function)', 'State observer']"
Equality (mathematics),"['property', 'set', 'value']","['Property (mathematics)', 'Set (mathematics)', 'Truth value']"
Bounded variation,"['boundary value problem', 'continuous function']","['Boundary value problem', 'Continuous function']"
Vertical bar,"['line', 'axis', 'rotation']","['Line (geometry)', 'Axis', 'Rotation (mathematics)']"
Mean,"['measure', 'mean', 'median']","['Measure (mathematics)', 'Median']"
Stochastic differential equation,['stochastic differential equation'],[]
Covariance and contravariance of vectors,['covariance and contravariance'],[]
Edo period,"['period', 'time', 'shogunate']","['Local time (mathematics)', 'Rangaku']"
Product (mathematics),"['number', 'quantity', 'sum']","['Number', 'Quantity', 'Series (mathematics)']"
Machine learning,"['data', 'learn', 'technique']","['Mathematics', 'Addition', 'Finance']"
Turning Point,"['time', 'point', 'trend']","['Local time (mathematics)', 'Point (geometry)', 'Matrix (mathematics)']"
Normal mode,"['mode', 'frequency', 'signal']","['Mode (statistics)', 'Frequency (statistics)', 'Signal']"
Solution set,"['set', 'solution', 'equation']","['Set (mathematics)', 'Equation', 'Equation']"
LINPACK,"['set', 'element', 'number']","['Set (mathematics)', 'Element (mathematics)', 'Number']"
Uncorrelatedness (probability theory),"['property', 'random variable', 'state']","['Property (mathematics)', 'Random variable', 'Function (mathematics)']"
Haredi Judaism,['halakhah'],['Labour law']
Bilinear map,"['map', 'combination', 'map']","['Map (mathematics)', 'Combination', 'Map (mathematics)']"
Perron–Frobenius theorem,"['theorem', 'proof', 'concept']","['Theorem', 'Proof theory', 'Concept']"
Linear combination,"['set', 'vector', 'vector space']","['Set (mathematics)', 'Vector (mathematics and physics)', 'Vector space']"
Problem solving,"['problem', 'solution', 'situation']","['Word problem (mathematics)', 'Equation', 'Mathematics']"
Rate (mathematics),"['change', 'rate', 'quantity']",['Quantity']
Empty set,"['set', 'element', 'type']","['Set (mathematics)', 'Element (mathematics)', 'OpenType']"
Circumference,"['circumference', 'circle', 'diameter']","['Circle', 'Diameter (disambiguation)']"
Quotient ring,"['subring', 'element', 'ring']","['Subring', 'Element (mathematics)', 'Ring (mathematics)']"
Shear matrix,"['matrix', 'vector', 'space']","['Matrix (mathematics)', 'Vector (mathematics and physics)', 'Space (mathematics)']"
Arithmetic,"['arithmetic', 'number', 'study']","['Number', 'Mathematics']"
Wronskian,"['product', 'vector', 'scalar']","['Product (mathematics)', 'Vector (mathematics and physics)', 'Scalar (mathematics)']"
Primitive polynomial (field theory),"['field', 'equation', 'polynomial']","['Field (mathematics)', 'Equation', 'Polynomial']"
Logistic function,"['function', 'combination', 'function']","['Function (mathematics)', 'Combination', 'Function (mathematics)']"
Reductionism,"['theory', 'form', 'theory']","['Set theory', 'Determinant', 'Set theory']"
Distribution (mathematics),"['average', 'number', 'function']","['Average', 'Number', 'Function (mathematics)']"
Critical exponent,"['prime factorization', 'number', 'factor']","['Integer factorization', 'Number', 'Factor']"
Hamiltonian matrix,"['order', 'matrix', 'element']","['Mathematics', 'Matrix (mathematics)', 'Element (mathematics)']"
Linear span,"['measure', 'distance', 'point']","['Measure (mathematics)', 'Distance', 'Point (geometry)']"
Precalculus,"['arithmetic', 'algebra', 'geometry']","['Arithmetic', 'Algebra', 'Geometry']"
Student's t-distribution,"['gamma', 'mean', 'distribution']","['Gamma', 'Mean', 'Distribution (mathematics)']"
Eigenvalues and eigenvectors,"['eigenvalue', 'eigenvector', 'matrix']","['Degeneracy (mathematics)', 'Eigenface', 'Matrix (mathematics)']"
Anxiety,"['state of fear', 'fear']","['Appeal to fear', 'Mathematics']"
Closed set,"['set', 'element', 'element set']","['Set (mathematics)', 'Element (mathematics)', 'Element (mathematics)']"
Gram–Schmidt process,"['stochastic process', 'Markov chain', 'stationary state']","['Stochastic process', 'Markov chain', 'Stationary state']"
Schur decomposition,"['set', 'function', 'orthogonality']","['Set (mathematics)', 'Function (mathematics)', 'Orthogonality (mathematics)']"
Expectation value (quantum mechanics),"['quantum event', 'probability', 'measure']","['Quantum gravity', 'Probability', 'Measure (mathematics)']"
Computer graphics (computer science),"['image', 'computer', 'generate']","['Image (mathematics)', 'Computer science', 'Generator (mathematics)']"
Color space,"['color', 'pixel', 'RGB']","['Color', 'Kernel (image processing)', 'YCbCr']"
Sample space,"['set', 'function', 'plane']","['Set (mathematics)', 'Function (mathematics)', 'Plane (geometry)']"
Additional Mathematics,['subject that is not a core subject'],['IB Group 4 subjects']
Commuting matrices,"['product', 'matrix', 'matrix product']","['Product (mathematics)', 'Matrix (mathematics)', 'Outer product']"
Double negative,"['negative number', 'sign', 'signum']","['Negative number', 'Sign (mathematics)', 'Sign (mathematics)']"
Hypatia,"['syllogism', 'logic', 'logical']","['Syllogism', 'Logic', 'Axiom']"
Pattern Blocks,"['set', 'block', 'n']","['Set (mathematics)', 'Unicode block', 'N-sphere']"
Mécanique analytique,"['number theory', 'number system']","['Number theory', 'Number']"
Mathematical constant,"['number', 'value', 'number system']","['Number', 'Truth value', 'Number']"
Divergence (disambiguation),"['measure', 'distance', 'point']","['Measure (mathematics)', 'Distance', 'Point (geometry)']"
Interval (mathematics),"['set', 'line', 'point']","['Set (mathematics)', 'Line (geometry)', 'Point (geometry)']"
Characteristic function,"['set', 'function', 'point']","['Set (mathematics)', 'Function (mathematics)', 'Point (geometry)']"
Superposition principle,"['change', 'system', 'property']","['Rate (mathematics)', 'Mathematics', 'Property (mathematics)']"
Conic section,"['polygon', 'curve', 'tangency']","['Polygon', 'Curve', 'Tangent']"
Standard deviation,"['measure', 'variability', 'mean']","['Measure (mathematics)', 'Human variability', 'Mean']"
Zero-dimensional space,"['point', 'space', 'dimension']","['Point (geometry)', 'Space (mathematics)', 'Dimension']"
Median,['Group (mathematics)'],['Pure mathematics']
Polar space,"['axis', 'plane', 'revolution']","['Axis', 'Plane (geometry)', 'Mathematics']"
Gamma matrices,"['matrix', 'diagonal', 'zero']","['Matrix (mathematics)', 'Diagonal', '0']"
Algebra over a field,"['set', 'axiom', 'theory']","['Set (mathematics)', 'Axiom', 'Set theory']"
Plane of rotation,"['plane of revolution', 'point of rotation']","['Solid of revolution', 'Angle of rotation']"
Continuous function,"['time', 'space', 'function']","['Local time (mathematics)', 'Space (mathematics)', 'Function (mathematics)']"
Nonlinear control,"['system', 'state', 'system of equations']","['Mathematics', 'Function (mathematics)', 'System of equations']"
Magnus expansion,"['operation', 'number', 'series']","['Operation (mathematics)', 'Number', 'Series (mathematics)']"
Fibonacci number,"['prime number', 'number', 'sum']","['Prime number', 'Number', 'Series (mathematics)']"
Cost function,"['cost', 'production', 'cost']","['Sunk cost', 'Production (economics)', 'Sunk cost']"
Dot product,"['product', 'quantity', 'quantity']","['Product (mathematics)', 'Quantity', 'Quantity']"
Data analysis,"['analyzing', 'technique', 'data']","['Pi (film)', 'Finance', 'Mathematics']"
P-Laplacian,"['p', 'number', 'function']","['Group (mathematics)', 'Number', 'Function (mathematics)']"
Elementary mathematics,"['arithmetic progression', 'arithmetic series']","['Arithmetic progression', 'Arithmetic mean']"
Random variable,"['probability', 'distribution', 'variable']","['Probability', 'Distribution (mathematics)', 'Variable (mathematics)']"
Endemic (epidemiology),"['disease', 'area', 'endemic']","['Epidemic', 'Area']"
Knapsack problem,"['space', 'problem', 'set']","['Space (mathematics)', 'Word problem (mathematics)', 'Set (mathematics)']"
Chemical equation,"['set', 'operation', 'substance']","['Set (mathematics)', 'Operation (mathematics)', 'Flux']"
Differential operator,"['map', 'function', 'operator']","['Map (mathematics)', 'Function (mathematics)', 'Operator (mathematics)']"
Area,"['area', 'surface', 'measure']","['Surface (mathematics)', 'Measure (mathematics)']"
Stationary point,"['line', 'point', 'move']","['Line (geometry)', 'Point (geometry)', 'Locus (mathematics)']"
Linear equation,"['relationship', 'quantity', 'expression']","['Spurious relationship', 'Quantity', 'Expression (mathematics)']"
Minkowski space,"['metric', 'space', 'metric space']","['Metric space', 'Space (mathematics)', 'Metric space']"
Weighted arithmetic mean,"['mean', 'average', 'measure']","['Mean', 'Average', 'Measure (mathematics)']"
C mathematical functions,"['set', 'operation', 'arithmetic']","['Set (mathematics)', 'Operation (mathematics)', 'Arithmetic']"
Vandermonde matrix,"['matrix', 'diagonal', 'zero']","['Matrix (mathematics)', 'Diagonal', '0']"
Pigeonhole principle,"['position', 'time', 'motion']","['Position (geometry)', 'Local time (mathematics)', 'Motion']"
Confocal conic sections,"['tangent', 'plane', 'lens']","['Tangent', 'Plane (geometry)', 'Lens']"
Global optimization,"['problem', 'solution', 'best']","['Word problem (mathematics)', 'Equation', 'Matrix (mathematics)']"
Division sign,"['divisor', 'number', 'sign']","['Divisor', 'Number', 'Sign (mathematics)']"
Dimension (vector space),"['measure', 'distance', 'point']","['Measure (mathematics)', 'Distance', 'Point (geometry)']"
Reflection symmetry,"['symmetry axis', 'reflection', 'plane']","['Symmetry (geometry)', 'Reflection (mathematics)', 'Plane (geometry)']"
Metric space,"['set', 'number', 'plane']","['Set (mathematics)', 'Number', 'Plane (geometry)']"
Tensor product,"['product', 'vector', 'scalar']","['Product (mathematics)', 'Vector (mathematics and physics)', 'Scalar (mathematics)']"
Parity bit,"['bit', 'bit', 'bit']","['Bit', 'Bit', 'Bit']"
Symmetry in mathematics,"['property', 'set', 'object']","['Property (mathematics)', 'Set (mathematics)', 'Category (mathematics)']"
The Zero Theorem,"['theorem', 'number', 'sum']","['Theorem', 'Number', 'Series (mathematics)']"
Category (mathematics),"['set', 'way', 'object']","['Set (mathematics)', 'Set (mathematics)']"
Galton Laboratory,"['laboratory', 'theory', 'inheritance']","['Lambda (unit)', 'Set theory', 'Mendelian inheritance']"
Factorization of polynomials,"['polynomial', 'factor', 'polynomial factorization']","['Polynomial', 'Factor', 'Integer factorization']"
Fields Medal,"['award', 'mathematics', 'prize']","['Mathematics', 'Mathematics', 'Abel Prize']"
Linear function (calculus),"['continuous', 'bounded', 'function']","['Continuous function', 'Bounded set', 'Function (mathematics)']"
Self-organizing map,"['cluster', 'map', 'object']","['Cluster graph', 'Map (mathematics)', 'Category (mathematics)']"
Bijection,"['space', 'map', 'spacetime']","['Space (mathematics)', 'Map (mathematics)', 'Spacetime']"
Euler method,"['method', 'solve', 'system']","['Mathematics', 'Solver', 'Mathematics']"
Three-dimensional space,"['a three-dimensional object', 'a plane', 'and a surface']","['Plane (geometry)', 'Minimal surface']"
Structure (mathematical logic),"['set', 'axiom', 'theory']","['Set (mathematics)', 'Axiom', 'Set theory']"
Apsis,"['ratio', 'ratios', 'number']","['Ratio', 'Ratio', 'Number']"
Homogeneous coordinates,"['set', 'point', 'coordinate']","['Set (mathematics)', 'Point (geometry)', 'Coordinate system']"
Subset,"['set', 'element', 'elemental']","['Set (mathematics)', 'Element (mathematics)', 'Measurement']"
Parametric equation,"['relationship', 'quantity', 'equation']","['Spurious relationship', 'Quantity', 'Equation']"
Automorphism,"['group', 'homomorphism', 'group property']","['Group (mathematics)', 'Homomorphism', 'Residual property (mathematics)']"
Map projection,"['map', 'scale', 'paper']","['Map (mathematics)', 'Scaling (geometry)', 'Graph paper']"
Exponent (disambiguation),"['ratio', 'exponent', 'base']","['Ratio', 'E (mathematical constant)']"
Kronecker symbol,"['product', 'vector', 'scalar']","['Product (mathematics)', 'Vector (mathematics and physics)', 'Scalar (mathematics)']"
General algebraic modeling system,"['differential equation', 'system', 'model']","['Differential equation', 'Mathematics', 'Mathematics']"
Order of magnitude,"['number', 'multiple', 'number']","['Number', 'Multiple (mathematics)', 'Number']"
Rank (linear algebra),"['number', 'coefficient', 'combination']","['Number', 'Coefficient', 'Combination']"
Market structure,"['market', 'price', 'rule']","['Market (economics)', 'Price', ""Cramer's rule""]"
Search engine optimization,"['search', 'engine', 'model']","['Local search (optimization)', 'Wankel engine', 'Mathematics']"
Square matrix,"['matrix', 'vector', 'row']","['Matrix (mathematics)', 'Vector (mathematics and physics)', 'Rank (linear algebra)']"
Ellipse,"['polygon', 'curve', 'tangent']","['Polygon', 'Curve', 'Tangent']"
Vector space model,"['space', 'model', 'vector']","['Space (mathematics)', 'Mathematics', 'Vector (mathematics and physics)']"
Eugene Seneta,"['number', 'orchestra', 'symphony']","['Number', 'Palladio (Jenkins)', 'COIN-OR']"
Matrix addition,"['operation', 'matrix', 'eigenvalue']","['Operation (mathematics)', 'Matrix (mathematics)', 'Degeneracy (mathematics)']"
L-semi-inner product,"['product', 'vector', 'vector product']","['Product (mathematics)', 'Vector (mathematics and physics)', 'Cross product']"
Cylindrical coordinate system,"['x', 'y', 'z']","['Function (mathematics)', 'Locus (mathematics)', 'Z']"
Invertible knot,"['knot', 'loop', 'turn']","['Knot (mathematics)', 'Loop (topology)', 'Turn (angle)']"
Multiset,"['set', 'element', 'elemental']","['Set (mathematics)', 'Element (mathematics)', 'Measurement']"
PH,"['atomic number', 'mole', 'gas']","['Atomic number', 'Mole (unit)', 'Gas']"
Sylvester's law of inertia,"['force', 'resist', 'motion']","['Force', 'Number', 'Motion']"
Measure (mathematics),"['ratio', 'quantity', 'ratio']","['Ratio', 'Quantity', 'Ratio']"
Domain (mathematical analysis),"['set', 'number', 'real']","['Set (mathematics)', 'Number', 'Interval (mathematics)']"
Vectorization (mathematics),"['matrix', 'transform', 'vector']","['Matrix (mathematics)', 'Z-transform', 'Vector (mathematics and physics)']"
Stochastic process,"['stochastic process', 'probability', 'process']","['Probability', 'Process']"
Soviet Union,"['state', 'federation', 'country']","['Function (mathematics)', 'Russia', 'Parity (mathematics)']"
Serre's multiplicity conjectures,"['arithmetic', 'axiom', 'number']","['Arithmetic', 'Axiom', 'Number']"
Doubling time,"['time', 'double', 'time']","['Local time (mathematics)', 'Tuple', 'Local time (mathematics)']"
Geometric algebra,"['axiom', 'rule', 'system']","['Axiom', ""Cramer's rule"", 'Mathematics']"
Vibration,"['periodic motion', 'amplitude', 'frequency']","['Periodic function', 'Sine wave', 'Frequency (statistics)']"
Petrov classification,"['polygon', 'vertices', 'distance']","['Polygon', 'Vertex (graph theory)', 'Distance']"
Electrical network,"['set', 'node', 'power']","['Set (mathematics)', 'Node', 'Set (mathematics)']"
Affine geometry,"['spherical surface', 'polygon']","['Spherical cap', 'Polygon']"
Angle of rotation,"['angular velocity', 'momentum']","['Group velocity', 'Momentum']"
Map (mathematics),"['graph', 'function', 'graph']","['Graph (discrete mathematics)', 'Function (mathematics)', 'Graph (discrete mathematics)']"
Power series,"['number', 'power', 'sequence']","['Number', 'Set (mathematics)', 'Sequence']"
Element (mathematics),"['set', 'unit', 'set']","['Set (mathematics)', 'Unit (ring theory)', 'Set (mathematics)']"
Component (graph theory),"['set', 'graph', 'component']","['Set (mathematics)', 'Graph (discrete mathematics)']"
Linear algebra,"['system', 'solution', 'equation']","['Mathematics', 'Equation', 'Equation']"
Particle physics,"['quantum theory', 'particle physics', 'and atomic physics']","['Quantum gravity', 'Atomic physics']"
Opposite category,"['genus', 'category', 'element']","['Genus (mathematics)', 'Category (mathematics)', 'Element (mathematics)']"
Reflection mapping,"['map', 'mirror', 'image']","['Map (mathematics)', 'Mirror', 'Image (mathematics)']"
Graph database,"['graph theory', 'database', 'data']","['Graph theory', 'Database', 'Mathematics']"
Dual (category theory),"['dual', 'category', 'object']","['Category (mathematics)', 'Category (mathematics)']"
Division algorithm,"['algorithm', 'number', 'perform']","['Algorithm', 'Number', 'HP-01']"
Logical equivalence,['true if and only if'],['If and only if']
Turner syndrome,"['chromosome', 'abnormality', 'number']","['Abnormal subgroup', 'Number']"
Legendre function,"['polynomial', 'coefficient', 'function']","['Polynomial', 'Coefficient', 'Function (mathematics)']"
Spin (physics),"['vector', 'quantity', 'direction']","['Vector (mathematics and physics)', 'Quantity', 'Vector (mathematics and physics)']"
Parametrization (geometry),"['transformation', 'geometry', 'symmetry']","['Transformation (function)', 'Geometry', 'Symmetry']"
Idempotence,"['property', 'function', 'argument']","['Property (mathematics)', 'Function (mathematics)', 'Argument (complex analysis)']"
Aerodynamics,"['fluid mechanics', 'fluid flow', 'and fluid dynamics']","['Fluid mechanics', 'Flow (mathematics)', 'Fluid dynamics']"
Harmonic function,"['periodic function', 'function', 'sense']","['Periodic function', 'Function (mathematics)', 'Sense']"
Pythagorean theorem,"['ratio', 'length', 'side']","['Ratio', 'Length', 'Parity (mathematics)']"
Centroid,"['line', 'point', 'intersection']","['Line (geometry)', 'Point (geometry)', 'Intersection']"
Box plot,"['graph', 'set', 'value']","['Graph (discrete mathematics)', 'Set (mathematics)', 'Truth value']"
Homogeneous differential equation,"['time', 'function', 'equation']","['Local time (mathematics)', 'Function (mathematics)', 'Equation']"
Algebraic number,"['prime number', 'number', 'sum']","['Prime number', 'Number', 'Series (mathematics)']"
Triangular matrix,"['matrix', 'diagonal', 'matrix']","['Matrix (mathematics)', 'Diagonal', 'Matrix (mathematics)']"
Bridge (disambiguation),"['bridge', 'truss', 'structure']","['Broom Bridge', 'Truss', 'Structure (mathematical logic)']"
Variance,['a measure of the spread of a population'],['Standard deviation']
Hermite normal form,"['polynomial', 'coefficient', 'rational']","['Polynomial', 'Coefficient', 'Rational number']"
Scheme of work,"['plan', 'project', 'math']","['! (disambiguation)', 'Mathematics', 'Math 55']"
Normal distribution,"['mean', 'distribution', 'standard deviation']","['Mean', 'Distribution (mathematics)', 'Standard deviation']"
Diagonally dominant matrix,"['matrix', 'diagonal', 'element']","['Matrix (mathematics)', 'Diagonal', 'Element (mathematics)']"
Allan variance,"['measure', 'variability', 'random']","['Measure (mathematics)', 'Human variability', 'Random walk']"
Rigid analytic space,"['scalar product', 'metric', 'space']","['Scalar projection', 'Metric space', 'Space (mathematics)']"
Acceleration,"['change', 'velocity', 'change']","['Rate (mathematics)', 'Velocity', 'Rate (mathematics)']"
Positive-definite kernel,"['kernel', 'condition', 'point']","['Kernel (image processing)', 'Kutta condition', 'Point (geometry)']"
Congruence (geometry),"['distance', 'point', 'plane']","['Distance', 'Point (geometry)', 'Plane (geometry)']"
Perpendicular,"['line', 'perpendicular', 'line']","['Line (geometry)', 'Line (geometry)']"
Normal matrix,"['norm', 'matrix', 'matrix multiplication']","['Norm (mathematics)', 'Matrix (mathematics)', 'Matrix multiplication']"
Euclidean vector,"['line of symmetry', 'vector']","['Reflection symmetry', 'Vector (mathematics and physics)']"
Rational number,"['ratio', 'number', 'whole']","['Ratio', 'Number', 'Locus (mathematics)']"
George Dantzig,"['theorem', 'theorem proving', 'mathematician']","['Theorem', 'Theorem', 'Mathematician']"
Recurrence plot,"['event', 'recurrence', 'graph']","['Probability', 'Graph (discrete mathematics)']"
Archimedes,"['figure', 'geometry', 'figure']","['Shape', 'Geometry', 'Shape']"
Noether's theorem,"['conservation of energy', 'conservation of momentum']","['Conservation of energy', 'Conservation of energy']"
Invariant theory,"['group theory', 'structure', 'theory']","['Group theory', 'Structure (mathematical logic)', 'Set theory']"
Unary operation,"['binary number', 'binary operation']","['Binary number', 'Binary operation']"
Truth table,"['table', 'truth', 'value']","['Periodic table', 'Truth', 'Truth value']"
Spark (mathematics),"['particle', 'speed', 'motion']","['Particle', 'Speed', 'Motion']"
Numerical analysis,"['number theory', 'mathematical analysis']","['Number theory', 'Mathematical analysis']"
Odd,"['number', 'divisibility', 'number']","['Number', 'Divisibility rule', 'Number']"
Event horizon,"['point', 'spacetime', 'particle']","['Point (geometry)', 'Spacetime', 'Particle']"
Legendre polynomials,['degree n'],['Degree (graph theory)']
Differential equation,"['differential equation', 'continuous system', 'model']","['Dynamical system', 'Mathematics']"
Formal proof,"['formal system', 'proof', 'theorem']","['Formal system', 'Proof theory', 'Theorem']"
Grassmann number,"['atomic number', 'molecular formula']","['Atomic number', 'Molecular graph']"
Composition of relations,"['relation', 'set', 'relational']","['Relation (mathematics)', 'Set (mathematics)', 'Relation (mathematics)']"
Pisano period,"['time', 'event', 'period']","['Local time (mathematics)', 'Probability', 'Edo period']"
Set-builder notation,"['notation', 'set', 'element']","['Summation', 'Set (mathematics)', 'Element (mathematics)']"
WKB approximation,"['set', 'function', 'inverse']","['Set (mathematics)', 'Function (mathematics)', 'Inverse function']"
History of mathematical notation,"['collection', 'rule', 'symbol']","['Mathematics', ""Cramer's rule"", 'Radical symbol']"
Greatest common divisor,"['digit', 'number', 'ratio']","['Digit sum', 'Number', 'Ratio']"
Row and column vectors,"['line segment', 'quantity', 'vector']","['Line segment', 'Quantity', 'Vector (mathematics and physics)']"
Binomial theorem,"['prime number', 'square', 'number']","['Prime number', 'Square', 'Number']"
Principal ideal,"['set', 'number', 'inverse']","['Set (mathematics)', 'Number', 'Inverse function']"
Triangulation (surveying),"['measure', 'angle', 'distance']","['Measure (mathematics)', 'Angle', 'Distance']"
Number line,"['line', 'segment', 'plane']","['Line (geometry)', 'Line segment', 'Plane (geometry)']"
Degenerate bilinear form,"['group', 'form', 'combination']","['Group (mathematics)', 'Determinant', 'Combination']"
Solver,"['algorithm', 'problem', 'solve']","['Algorithm', 'Word problem (mathematics)']"
Conductor (class field theory),"['field', 'theory', 'particle']","['Field (mathematics)', 'Set theory', 'Particle']"
Polygon triangulation,"['polygon', 'line', 'vertex']","['Polygon', 'Line (geometry)', 'Vertex (geometry)']"
Spectrum (disambiguation),"['set', 'function', 'value']","['Set (mathematics)', 'Function (mathematics)', 'Truth value']"
Computational complexity of matrix multiplication,"['matrix', 'multiplication']","['Matrix (mathematics)', 'Multiplication']"
Computational complexity of mathematical operations,"['Computational complexity', 'time', 'arithmetic']","['Computational complexity', 'Local time (mathematics)', 'Arithmetic']"
Precision (computer science),"['arithmetic', 'measure', 'computation']","['Arithmetic', 'Measure (mathematics)', 'Mathematics']"
Separable space,"['set', 'space', 'element']","['Set (mathematics)', 'Space (mathematics)', 'Element (mathematics)']"
Integral,"['set', 'element', 'sum']","['Set (mathematics)', 'Element (mathematics)', 'Series (mathematics)']"
Slope,"['line', 'x-axis', 'perpendicular']","['Line (geometry)', 'Axis', 'Perpendicular']"
Outer product,"['product', 'product', 'product line']","['Product (mathematics)', 'Product (mathematics)', 'Projection (mathematics)']"
Complex conjugate,"['complex number', 'real number']","['Complex number', 'Real number']"
Alex Sink,"['number', 'orchestra', 'symphony']","['Number', 'Palladio (Jenkins)', 'COIN-OR']"
Quadratic form,"['polynomial', 'square', 'sum']","['Polynomial', 'Square', 'Series (mathematics)']"
Fraction,"['ratio', 'ratios', 'number']","['Ratio', 'Ratio', 'Number']"
Addition principle,"['product', 'element', 'sum']","['Product (mathematics)', 'Element (mathematics)', 'Series (mathematics)']"
Normalizing constant,['a constant that is used to normalize the data'],['Constant-Q transform']
Dieudonné determinant,"['polynomial', 'determinant', 'polynomial function']","['Polynomial', 'Determinant', 'Zero of a function']"
Backslash,"['character', 'character string', 'character']","['Character (mathematics)', 'String (computer science)', 'Character (mathematics)']"
Real projective plane,"['y-axis', 'x-axis']","['Function (mathematics)', 'Axis']"
Eros (concept),"['symbiosis', 'organism', 'relationship']","['Mutualism (biology)', 'Organism', 'Spurious relationship']"
Vector notation,"['notation', 'vector', 'notation']","['Summation', 'Vector (mathematics and physics)', 'Summation']"
Constant-recursive sequence,"['sequence', 'element', 'sum']","['Sequence', 'Element (mathematics)', 'Series (mathematics)']"
Geometric calculus,"['differential equation', 'function', 'variable']","['Differential equation', 'Function (mathematics)', 'Variable (mathematics)']"
Commutative property,"['property', 'group', 'element']","['Property (mathematics)', 'Group (mathematics)', 'Element (mathematics)']"
Pythagoras,"['length', 'side', 'triangle']","['Length', 'Parity (mathematics)', 'Triangle']"
GJMS operator,"['product', 'vector', 'scalar']","['Product (mathematics)', 'Vector (mathematics and physics)', 'Scalar (mathematics)']"
Spectral theorem,"['theorem', 'function', 'frequency']","['Theorem', 'Function (mathematics)', 'Frequency (statistics)']"
Totally positive matrix,"['matrix', 'element', 'matrix']","['Matrix (mathematics)', 'Element (mathematics)', 'Matrix (mathematics)']"
Cayley transform,"['order', 'preserve', 'transformation']","['Mathematics', 'Isometry', 'Transformation (function)']"
Incomplete Cholesky factorization,"['polynomial', 'factorization', 'polynomial']","['Polynomial', 'Factorization', 'Polynomial']"
Schauder basis,"['basis', 'set', 'polynomial']","['Basis (linear algebra)', 'Set (mathematics)', 'Polynomial']"
Factor theorem,"['degree n', 'polynomial', 'factor']","['Degree (graph theory)', 'Polynomial', 'Factor']"
Cartan matrix,"['matrix', 'identity', 'element']","['Matrix (mathematics)', 'Identity (mathematics)', 'Element (mathematics)']"
Orthogonal array,"['set', 'pattern', 'element']","['Set (mathematics)', 'Pattern', 'Element (mathematics)']"
Four color theorem,"['theorem', 'set', 'number']","['Theorem', 'Set (mathematics)', 'Number']"
Bracket,"['line', 'point', 'intersect']","['Line (geometry)', 'Point (geometry)', 'Intersection']"
Shift space,"['metric', 'space', 'point']","['Metric space', 'Space (mathematics)', 'Point (geometry)']"
Primary decomposition,"['fraction', 'substance', 'part']","['Fraction', 'Flux', 'Mereology']"
Homogeneous space,"['space', 'point', 'type']","['Space (mathematics)', 'Point (geometry)', 'OpenType']"
Krylov subspace,"['subspace', 'Hilbert space', 'function']","['Space (mathematics)', 'Hilbert space', 'Function (mathematics)']"
Formal calculation,"['process', 'step', 'series']","['Process', 'Equation', 'Series (mathematics)']"
Dyadic rational,"['prime number', 'rational number']","['Prime number', 'Rational number']"
Direct sum of groups,"['group', 'element', 'set']","['Group (mathematics)', 'Element (mathematics)', 'Set (mathematics)']"
Knot (mathematics),"['polygon', 'knot', 'vertices']","['Polygon', 'Vertex (graph theory)']"
Homology (mathematics),"['set', 'axiom', 'object']","['Set (mathematics)', 'Axiom', 'Category (mathematics)']"
Bounded operator,"['domain', 'function', 'argument']","['Domain (mathematical analysis)', 'Function (mathematics)', 'Argument (complex analysis)']"
Outcome (probability),"['event', 'probability', 'occur']","['Probability', 'Probability', 'Vector (mathematics and physics)']"
Indian mathematics,"['arithmetic', 'geometry', 'and algebra']","['Arithmetic', 'Geometry', 'Algebra']"
Stochastic matrix,"['matrix', 'element', 'distribution']","['Matrix (mathematics)', 'Element (mathematics)', 'Distribution (mathematics)']"
Roger Penrose,"['theorem', 'theorem proving', 'mathematician']","['Theorem', 'Theorem', 'Mathematician']"
Locally nilpotent derivation,"['derivation', 'function', 'nilpotent']","['Derivation (differential algebra)', 'Function (mathematics)', 'Nilpotent']"
Convex set,"['set', 'curve', 'point']","['Set (mathematics)', 'Curve', 'Point (geometry)']"
Affine transformation,"['transformation', 'preserve', 'shape']","['Transformation (function)', 'Isometry', 'Shape']"
