concept,dep_articles_de2,dep_articles_de3,dep_articles
Crystal oscillator,['Crystal oscillator'],"[""Newton's laws of motion"", 'Rotation', 'Oscillation', 'Computer science', 'Mass']","['Mass', 'Computer science', 'Oscillation', ""Newton's laws of motion"", 'Rotation']"
Quadratic formula,"['Complex number', 'Absolute value', 'Complex conjugate', 'Complex plane', 'Split-complex number']","['Formula', 'Polynomial', 'Quadratic equation', 'Square root', 'Complex number']","['Square root', 'Absolute value', 'Complex number', 'Complex plane', 'Polynomial', 'Complex conjugate', 'Quadratic equation', 'Split-complex number', 'Formula']"
Half-life,[],"['Logarithm', 'Equation', 'Exponential function', 'Radioactive decay', 'Function (mathematics)']","['Function (mathematics)', 'Exponential function', 'Equation', 'Radioactive decay', 'Logarithm']"
Mindset,[],[],[]
Matrix addition,"['Matrix multiplication', 'Matrix (mathematics)', 'Matrix norm', 'Zero matrix', 'Pauli matrices']","['Matrix (mathematics)', '.example', 'Field extension', 'Algebra', 'Euclidean vector']","['Algebra', '.example', 'Pauli matrices', 'Matrix norm', 'Field extension', 'Matrix (mathematics)']"
Vectorization (mathematics),"['Matrix multiplication', 'Vector space', 'Vector (mathematics and physics)', 'Euclidean vector', 'Scalar multiplication']","['Euclidean vector', 'Matrix (mathematics)', 'Row and column vectors', 'Scalar multiplication', 'Vector space']","['Matrix (mathematics)', 'Row and column vectors']"
Complex conjugate,"['Complex number', 'Fundamental theorem of algebra', 'Conjugate prior', 'Inner product space', 'Absolute value']","['Complex number', 'Real number', '.example', 'Multiplication', 'Algebra']","['Multiplication', 'Algebra', 'Real number', 'Conjugate prior', '.example', 'Complex number', 'Inner product space']"
Direct sum,"['Symmetric matrix', 'Normed vector space', 'Linear equation']","['Vector space', 'Linear subspace', 'Dimension (vector space)', 'Field extension', 'Mathematical proof']","['Symmetric matrix', 'Vector space', 'Linear subspace', 'Field extension', 'Normed vector space', 'Linear equation', 'Mathematical proof']"
Linear model,[],"['Cartesian coordinate system', 'Zero of a function', 'Variable (mathematics)', 'Model (person)', 'Money']","['Model (person)', 'Cartesian coordinate system', 'Variable (mathematics)', 'Money', 'Zero of a function']"
Split-complex number,"['Complex number', 'Split-complex number', 'Complex plane', 'Imaginary unit', 'Absolute value']","['Complex number', 'Real number', 'Cartesian coordinate system', 'Vector space', 'Linear subspace']","['Absolute value', 'Imaginary unit', 'Cartesian coordinate system', 'Real number', 'Complex number']"
Axis mundi,"['Focus (geometry)', 'Ellipse', 'Vertex (graph theory)']","['Cartesian coordinate system', 'National Statuary Hall', 'Center (basketball)', 'Conic section', 'Radius']","['Vertex (graph theory)', 'National Statuary Hall', 'Cartesian coordinate system', 'Conic section', 'Focus (geometry)', 'Radius', 'Ellipse', 'Center (basketball)']"
Spherical coordinate system,[],"['Cartesian coordinate system', 'Three-dimensional space', 'Cylindrical coordinate system', 'Cylinder', 'Angle']","['Cylinder', 'Angle', 'Cartesian coordinate system', 'Cylindrical coordinate system', 'Three-dimensional space']"
Pisano period,['Recurrence plot'],"['Matrix (mathematics)', 'Chemical formula', 'Pisa', 'Eigenvalues and eigenvectors', 'Diagonalizable matrix']","['Diagonalizable matrix', 'Recurrence plot', 'Pisa', 'Matrix (mathematics)', 'Chemical formula', 'Eigenvalues and eigenvectors']"
Infinity,"['Variable (mathematics)', 'Bijection', 'Equation', 'Mathematics', 'System of linear equations']","['System of linear equations', 'Free variables and bound variables', 'Variable (mathematics)', 'Row echelon form', 'Matrix (mathematics)']","['Bijection', 'Mathematics', 'Free variables and bound variables', 'System of linear equations', 'Variable (mathematics)', 'Row echelon form', 'Equation', 'Matrix (mathematics)']"
Factor,"['Polynomial', 'Complex number', 'Fundamental theorem of algebra', 'Multiplicity (mathematics)', 'Vector space']","['Polynomial', 'Real number', 'Zero of a function', 'Quadratic function', 'Mathematical proof']","['Vector space', 'Real number', 'Polynomial', 'Quadratic function', 'Complex number', 'Zero of a function', 'Mathematical proof']"
Spectral theorem,"['Adjugate matrix', 'Adjoint', 'System of linear equations', 'Determinant']","['Matrix (mathematics)', 'Minor (linear algebra)', 'Cofactor (biochemistry)', 'Reader (academic rank)', 'Exercise']","['Reader (academic rank)', 'Adjoint', 'Minor (linear algebra)', 'Cofactor (biochemistry)', 'System of linear equations', 'Determinant', 'Matrix (mathematics)', 'Exercise']"
Input–output model,[],"['Triangular matrix', 'Exercise', 'Hint (musician)', 'Matrix (mathematics)', 'Unicode block']","['Unicode block', 'Triangular matrix', 'Hint (musician)', 'Matrix (mathematics)', 'Exercise']"
Krylov subspace,"['Direct sum', 'Standard basis', 'Concatenation']","['Vector space', 'Euclidean vector', 'Cartesian coordinate system', 'Linear subspace', 'Union (set theory)']","['Union (set theory)', 'Standard basis', 'Vector space', 'Cartesian coordinate system', 'Euclidean vector', 'Linear subspace', 'Concatenation', 'Direct sum']"
Whole number,['Integer'],[],['Integer']
Multiset,"['Eigenvalues and eigenvectors', 'Multiplicity (mathematics)']","['Matrix (mathematics)', 'Vector space', 'Field extension', 'Eigenvalues and eigenvectors', 'Polynomial']","['Field extension', 'Vector space', 'Matrix (mathematics)', 'Eigenvalues and eigenvectors']"
Orthogonal functions,"['Projection (mathematics)', 'Pythagorean theorem']","['Orthogonality', 'If and only if', 'Pythagorean theorem', 'Angle', 'Inner product space']","['Angle', 'Pythagorean theorem', 'Orthogonality', 'Projection (mathematics)', 'Inner product space', 'If and only if']"
Foundations of mathematics,"['Consistency', 'Homogeneity (disambiguation)', 'System of linear equations']","['Row echelon form', 'Matrix (mathematics)', 'Free variables and bound variables', 'Rank (linear algebra)', 'Linear system']","['Free variables and bound variables', 'Consistency', 'System of linear equations', 'Row echelon form', 'Homogeneity (disambiguation)', 'Matrix (mathematics)', 'Rank (linear algebra)', 'Linear system']"
Antiparallelogram,[],"['Parallelogram', 'Linear map', 'Matrix (mathematics)', 'Parallelepiped', 'Euclidean vector']","['Linear map', 'Euclidean vector', 'Parallelogram', 'Parallelepiped', 'Matrix (mathematics)']"
Sampling (statistics),['Correlation'],"['Sample mean and covariance', 'Arithmetic mean', 'Matrix (mathematics)', 'Linear algebra', 'Invertible matrix']","['Correlation', 'Arithmetic mean', 'Linear algebra', 'Matrix (mathematics)', 'Invertible matrix', 'Sample mean and covariance']"
Idempotent (ring theory),"['Invertible matrix', 'Moore–Penrose inverse']","['Matrix (mathematics)', 'Exercise', 'Idempotence', 'Zero of a function', 'Main diagonal']","['Main diagonal', 'Idempotence', 'Zero of a function', 'Moore–Penrose inverse', 'Matrix (mathematics)', 'Exercise', 'Invertible matrix']"
Matrix norm,"['Matrix (mathematics)', 'Vector (mathematics and physics)', 'Triangular matrix', 'Euclidean vector', 'Matrix addition']","['Matrix (mathematics)', 'Euclidean vector', 'System of linear equations', 'Row echelon form', 'Column']","['Column', 'System of linear equations', 'Matrix (mathematics)', 'Row echelon form']"
Normal fan,[],"['Plane (geometry)', 'Euclidean vector', 'Normal (geometry)', 'Orthogonality', 'Coordinate vector']","['Normal (geometry)', 'Euclidean vector', 'Orthogonality', 'Coordinate vector', 'Plane (geometry)']"
Algebraic equation,"['System of linear equations', 'Distance matrix']","['Equation', 'Variable (mathematics)', 'Matrix (mathematics)', 'Polynomial', 'Factoring (finance)']","['Polynomial', 'System of linear equations', 'Variable (mathematics)', 'Factoring (finance)', 'Equation', 'Distance matrix']"
Hypothesis,[],[],[]
Outline of linear algebra,"['Invertible matrix', 'Characteristic polynomial', 'List of unsolved problems in mathematics']","['Vector space', 'Matrix (mathematics)', 'Linear map', 'Invertible matrix', 'Kernel (linear algebra)']","['List of unsolved problems in mathematics', 'Linear map', 'Vector space', 'Characteristic polynomial', 'Kernel (linear algebra)', 'Matrix (mathematics)', 'Invertible matrix']"
Orthogonal basis,"['Orthogonality (mathematics)', 'Gram–Schmidt process', 'Orthonormal basis', 'Basis function', 'Outer product']","['Orthogonality', 'Vector space', 'Orthonormality', 'Linear independence', '.example']","['Orthonormality', 'Outer product', 'Basis function', 'Orthogonality (mathematics)', 'Vector space', '.example', 'Orthogonality', 'Linear independence']"
Intrinsic dimension,"['Euclidean vector', 'Geometric algebra', 'Geometric series', 'Unit vector', 'Vector (mathematics and physics)']","['Euclidean vector', 'Geometry', 'Coordinate system', 'Mathematical proof', 'Square root']","['Square root', 'Unit vector', 'Coordinate system', 'Geometry', 'Euclidean vector', 'Vector (mathematics and physics)', 'Geometric series', 'Geometric algebra', 'Mathematical proof']"
Logical equivalence,[],[],[]
Composition (combinatorics),"['Matrix multiplication', 'Inverse function']","['Matrix (mathematics)', 'Matrix multiplication', 'Linear map', 'Transformation matrix', 'Function composition']","['Linear map', 'Matrix (mathematics)', 'Matrix multiplication', 'Transformation matrix', 'Inverse function', 'Function composition']"
Mutually orthogonal Latin squares,"['Orthogonal matrix', 'Principal axis theorem']","['Matrix (mathematics)', 'Orthonormality', 'Orthogonality', 'Independence (probability theory)', 'Linear independence']","['Orthonormality', 'Matrix (mathematics)', 'Independence (probability theory)', 'Principal axis theorem', 'Orthogonal matrix', 'Orthogonality', 'Linear independence']"
Matroid rank,[],"['Linear map', 'Dimension', 'Kernel (operating system)', 'Linear algebra', 'Theorem']","['Theorem', 'Linear map', 'Dimension', 'Kernel (operating system)', 'Linear algebra']"
Associated Legendre polynomials,[],"['Sequence', 'Recurrence relation', 'Linear map', 'Zero element', 'Equation']","['Sequence', 'Recurrence relation', 'Linear map', 'Zero element', 'Equation']"
Conservation law,"['Affine transformation', 'Euler angles']","['Arrow', 'Euclidean vector', 'Angle', 'Scalar multiplication', 'Geometry']","['Angle', 'Geometry', 'Arrow', 'Euclidean vector', 'Affine transformation', 'Euler angles', 'Scalar multiplication']"
Symmetry in mathematics,['Isometry'],"['Inner product space', 'Hint (musician)', 'Orthonormal basis', 'Symmetry', 'Product topology']","['Isometry', 'Inner product space', 'Symmetry', 'Product topology', 'Orthonormal basis', 'Hint (musician)']"
Factor theorem,['Rational root theorem'],"['Polynomial', 'Remainder theorem', 'Linear algebra', 'F(x) (musical group)', 'Division (mathematics)']","['Remainder theorem', 'F(x) (musical group)', 'Division (mathematics)', 'Polynomial', 'Linear algebra', 'Rational root theorem']"
Born rule,"['Linear subspace', 'Vector notation']","['Minkowski space', 'Euclidean vector', 'Linear subspace', 'Eigenvalues and eigenvectors', 'Matrix (mathematics)']","['Minkowski space', 'Vector notation', 'Euclidean vector', 'Linear subspace', 'Matrix (mathematics)', 'Eigenvalues and eigenvectors']"
Rational function,[],"['Sugar', 'Water', 'Gallon', 'Pound (mass)', 'Function (mathematics)']","['Function (mathematics)', 'Gallon', 'Sugar', 'Pound (mass)', 'Water']"
Trace (linear algebra),"['Matrix calculus', 'Invertible matrix', 'Moore–Penrose inverse', 'Rotation matrix', 'Matrix multiplication']","['Matrix (mathematics)', 'Linear map', 'Commutative property', 'Column', 'Main diagonal']","['Main diagonal', 'Linear map', 'Rotation matrix', 'Matrix (mathematics)', 'Matrix multiplication', 'Moore–Penrose inverse', 'Column', 'Commutative property', 'Matrix calculus']"
Accelerating change,[],"['Function (mathematics)', 'Rate (mathematics)', 'Graph (discrete mathematics)', 'Domain of a function', 'Maxima and minima']","['Function (mathematics)', 'Domain of a function', 'Graph (discrete mathematics)', 'Rate (mathematics)', 'Maxima and minima']"
Moment (mathematics),"['Row equivalence', 'Canonical form']","['Row echelon form', 'Matrix (mathematics)', 'Solution set', 'Echelon formation', 'Theatre']","['Echelon formation', 'Solution set', 'Canonical form', 'Theatre', 'Row echelon form', 'Matrix (mathematics)', 'Row equivalence']"
Resultant,['Parallelogram law'],"['Euclidean vector', '.example', 'Parallelogram law', 'Newton (unit)', 'Geodetic datum']","['Parallelogram law', 'Euclidean vector', '.example', 'Newton (unit)', 'Geodetic datum']"
S-box,[],"['Matrix (mathematics)', 'Recurrence relation', 'Stochastic matrix', 'Sovereign state', 'Kiosk']","['Stochastic matrix', 'Recurrence relation', 'Sovereign state', 'Matrix (mathematics)', 'Kiosk']"
Ideal (ring theory),"['Projective geometry', 'Vanish at infinity']","['Euclidean geometry', 'Plane (geometry)', 'Projective geometry', 'Polynomial', 'Projective plane']","['Vanish at infinity', 'Euclidean geometry', 'Projective plane', 'Projective geometry', 'Polynomial', 'Plane (geometry)']"
Perspective (geometry),[],"['Linear map', 'Vector space', 'Algebra', 'Transformation matrix', 'Matrix (mathematics)']","['Linear map', 'Vector space', 'Algebra', 'Transformation matrix', 'Matrix (mathematics)']"
Principal component analysis,[],"['Feasible region', 'Regions of France', 'Field extension', 'Profit (economics)', 'Linear programming']","['Regions of France', 'Linear programming', 'Profit (economics)', 'Feasible region', 'Field extension']"
Midpoint,"['Conservation law', 'Euclidean vector', 'Geometric algebra', 'Geometric series', 'Vector space']","['Point (geometry)', 'Field extension', 'Line segment', 'Distance', 'Euclidean vector']","['Conservation law', 'Distance', 'Vector space', 'Euclidean vector', 'Geometric series', 'Point (geometry)', 'Geometric algebra', 'Line segment', 'Field extension']"
Euclid,[],[],[]
Disjoint sets,"['Definition', 'Set-builder notation', 'Union (set theory)', 'Venn diagram', 'Addition principle']","['Subset', 'United States', 'Counting problem (complexity)', 'Chemical element', 'Swing music']","['Union (set theory)', 'Counting problem (complexity)', 'Definition', 'Subset', 'Venn diagram', 'United States', 'Chemical element', 'Swing music', 'Addition principle', 'Set-builder notation']"
Rhombus,['Projection (mathematics)'],"['Euclidean vector', 'Orthogonality', 'Perpendicular', 'Unicode block', 'Knot theory']","['Euclidean vector', 'Unicode block', 'Orthogonality', 'Perpendicular', 'Knot theory', 'Projection (mathematics)']"
Factorization of polynomials,['Fundamental theorem of algebra'],"['Polynomial', 'Mathematical proof', 'Algebra', 'Prime number', 'Theorem']","['Theorem', 'Mathematical proof', 'Algebra', 'Polynomial', 'Prime number']"
Triangle,"['Orthogonal matrix', 'Orthonormal basis', 'Orientation character']","['Cartesian coordinate system', 'Angle', 'Isometry', 'Matrix (mathematics)', 'Reflection (mathematics)']","['Isometry', 'Angle', 'Orientation character', 'Reflection (mathematics)', 'Cartesian coordinate system', 'Orthogonal matrix', 'Orthonormal basis', 'Matrix (mathematics)']"
Scatter plot,[],"['Point (geometry)', 'Dependent and independent variables', 'Coordinate system', 'Linear equation', 'Unit of observation']","['Coordinate system', 'Unit of observation', 'Point (geometry)', 'Linear equation', 'Dependent and independent variables']"
Convex set,[],"['Linear map', 'Scalar (mathematics)', 'Independence (probability theory)', 'Homomorphism', 'Sphere']","['Linear map', 'Independence (probability theory)', 'Sphere', 'Homomorphism', 'Scalar (mathematics)']"
Pascal's triangle,"['Matrix (mathematics)', 'Triangular matrix']","['Matrix (mathematics)', 'System of linear equations', 'Skateboard', 'Arroyo (creek)', 'Geometry']","['Geometry', 'Skateboard', 'System of linear equations', 'Triangular matrix', 'Arroyo (creek)', 'Matrix (mathematics)']"
The Zero Theorem,['Matrix (mathematics)'],"['Vector space', 'Inner product space', 'Linear map', 'Hermitian matrix', 'Orthonormal basis']","['Hermitian matrix', 'Linear map', 'Vector space', 'Inner product space', 'Matrix (mathematics)', 'Orthonormal basis']"
Speed learning,[],"['Euclidean vector', 'Velocity', 'Airplane', 'Kilometre', 'Cartesian coordinate system']","['Velocity', 'Cartesian coordinate system', 'Euclidean vector', 'Kilometre', 'Airplane']"
Logical matrix,[],"['Substitution cipher', 'Matrix (mathematics)', 'Row and column vectors', 'One-time pad', 'ASCII']","['Substitution cipher', 'ASCII', 'One-time pad', 'Matrix (mathematics)', 'Row and column vectors']"
Range space,['Inverse problem'],"['Homomorphism', 'Vector space', 'Codomain', 'Row and column spaces', 'Domain of a function']","['Domain of a function', 'Inverse problem', 'Vector space', 'Codomain', 'Row and column spaces', 'Homomorphism']"
Vertex (geometry),[],"['Quadratic function', 'Function (mathematics)', 'Parabola', 'Graph of a function', 'Real number']","['Function (mathematics)', 'Real number', 'Parabola', 'Quadratic function', 'Graph of a function']"
Herbert Wilf,[],"['PageRank', 'Eigenvalues and eigenvectors', 'Matrix (mathematics)', 'Adjacency matrix', 'Google']","['PageRank', 'Google', 'Matrix (mathematics)', 'Adjacency matrix', 'Eigenvalues and eigenvectors']"
Parallel (geometry),"['Horizontal line test', 'Perpendicular', 'Vertical bar']","['Equation', 'Plane (geometry)', 'Euclidean vector', 'Antenna (radio)', 'Orthogonality']","['Horizontal line test', 'Plane (geometry)', 'Antenna (radio)', 'Euclidean vector', 'Orthogonality', 'Perpendicular', 'Equation', 'Vertical bar']"
Victorian era,['Function (mathematics)'],"['Exercise', 'Cattle', 'Reproduction', 'Invertible matrix', 'Diagonalizable matrix']","['Function (mathematics)', 'Diagonalizable matrix', 'Cattle', 'Reproduction', 'Exercise', 'Invertible matrix']"
Circumference,"['Ellipse', 'Focus (geometry)', 'Vertex (graph theory)', 'Axis mundi']","['Ellipse', 'Equation', 'Vertex (geometry)', 'Focus (geometry)', 'Standard language']","['Vertex (graph theory)', 'Axis mundi', 'Focus (geometry)', 'Standard language', 'Ellipse', 'Equation', 'Vertex (geometry)']"
Distance,"['Y-intercept', 'Pythagorean theorem', 'Cartesian coordinate system', 'Coordinate system']","['Formula', 'Point (geometry)', 'Pythagorean theorem', 'Euclidean distance', 'Cartesian coordinate system']","['Euclidean distance', 'Coordinate system', 'Pythagorean theorem', 'Cartesian coordinate system', 'Y-intercept', 'Point (geometry)', 'Formula']"
Quotient graph,['Quotient space (topology)'],"['Quotient space (topology)', 'Linear map', 'Minkowski space', 'Vector space', 'Dimension']","['Linear map', 'Minkowski space', 'Vector space', 'Dimension', 'Quotient space (topology)']"
Affine symmetric group,[],"['Coordinate system', 'Palo Alto, California', 'Euclidean vector', 'Music', 'Electrical grid']","['Coordinate system', 'Euclidean vector', 'Electrical grid', 'Music', 'Palo Alto, California']"
Function of several complex variables,"['Affine transformation', 'Geometric transformation']","['Matrix (mathematics)', 'Field extension', 'Eigenvalues and eigenvectors', 'Complex number', 'Square matrix']","['Geometric transformation', 'Affine transformation', 'Square matrix', 'Complex number', 'Field extension', 'Matrix (mathematics)', 'Eigenvalues and eigenvectors']"
Primitive polynomial (field theory),[],"['Polynomial', 'Irreducible polynomial', 'Monic polynomial', 'Real number', 'Coprime integers']","['Coprime integers', 'Irreducible polynomial', 'Real number', 'Polynomial', 'Monic polynomial']"
Normal form (dynamical systems),[],"['Matrix (mathematics)', 'Main diagonal', 'Diagonal matrix', 'Polynomial', 'Companion matrix']","['Main diagonal', 'Companion matrix', 'Polynomial', 'Diagonal matrix', 'Matrix (mathematics)']"
Binomial theorem,['Orthonormal basis'],"['Orthogonality', 'Ellipse', 'Completing the square', 'Euclidean vector', 'Cone']","['Completing the square', 'Euclidean vector', 'Cone', 'Orthogonality', 'Ellipse', 'Orthonormal basis']"
E (mathematical constant),"['Associative property', 'Commutative property']",[],"['Commutative property', 'Associative property']"
Halting problem,['System of linear equations'],"['Equation', 'System of linear equations', 'Variable (mathematics)', 'Infinity', 'Real number']","['Real number', 'System of linear equations', 'Variable (mathematics)', 'Infinity', 'Equation']"
Delay differential equation,['Differential equation'],"['Equation', 'F(x) (musical group)', 'Derivative', 'Function of a real variable', 'Differential equation']","['Derivative', 'Differential equation', 'F(x) (musical group)', 'Function of a real variable', 'Equation']"
Pauli matrices,"['Matrix (mathematics)', 'Matrix norm', 'Matrix multiplication', 'Matrix addition', 'Rotation matrix']","['Matrix (mathematics)', 'Linear map', 'Field extension', 'Column', 'Vector space']","['Matrix addition', 'Linear map', 'Rotation matrix', 'Vector space', 'Matrix multiplication', 'Field extension', 'Matrix norm', 'Column', 'Matrix (mathematics)']"
Hamming distance,"['Code', 'Coding theory', 'Gray code']","['Software bug', 'Finite field', 'Code word', 'Coding theory', 'Abstract algebra']","['Finite field', 'Code', 'Software bug', 'Abstract algebra', 'Gray code', 'Coding theory', 'Code word']"
Variance,['Correlation'],"['Sample mean and covariance', 'Arithmetic mean', 'Matrix (mathematics)', 'Linear algebra', 'Invertible matrix']","['Correlation', 'Arithmetic mean', 'Linear algebra', 'Matrix (mathematics)', 'Invertible matrix', 'Sample mean and covariance']"
List of unsolved problems in mathematics,['Characteristic polynomial'],"['Eigenvalues and eigenvectors', 'Matrix (mathematics)', 'If and only if', 'Vector space', 'Invertible matrix']","['Vector space', 'Invertible matrix', 'Characteristic polynomial', 'Matrix (mathematics)', 'If and only if', 'Eigenvalues and eigenvectors']"
Positive definiteness,"['Definite matrix', 'Symmetric bilinear form']","['Matrix (mathematics)', 'Symmetric matrix', 'Eigenvalues and eigenvectors', 'Definite matrix', 'Quadratic form']","['Symmetric matrix', 'Symmetric bilinear form', 'Quadratic form', 'Matrix (mathematics)', 'Eigenvalues and eigenvectors']"
Least-squares function approximation,[],"['Point (geometry)', 'Variable (mathematics)', 'Approximation', 'Least squares', 'Unit of observation']","['Approximation', 'Unit of observation', 'Least squares', 'Variable (mathematics)', 'Point (geometry)']"
State-transition matrix,"['Markov chain', 'Orbital state vectors', 'Stochastic matrix', 'Transition kernel']","['Probability', 'Markov chain', 'Euclidean vector', 'Stochastic matrix', 'Column']","['Stochastic matrix', 'Orbital state vectors', 'Euclidean vector', 'Column', 'Transition kernel', 'Markov chain', 'Probability']"
Chemical equation,[],"['Atom', 'Hydrogen', 'Oxygen', 'Molecule', 'System of linear equations']","['Oxygen', 'Atom', 'System of linear equations', 'Hydrogen', 'Molecule']"
Invariant subspace,"['Eigenvalue algorithm', 'Canonical form']","['Matrix (mathematics)', 'Vector space', 'Linear map', 'Invariant (mathematics)', 'Eigenvalues and eigenvectors']","['Linear map', 'Matrix (mathematics)', 'Eigenvalue algorithm', 'Vector space', 'Canonical form', 'Invariant (mathematics)']"
Complex conjugate representation,"['Complex number', 'Imaginary unit']","['Complex number', 'Fraction', 'Complex conjugate', 'Distributive property', 'Like terms']","['Imaginary unit', 'Fraction', 'Complex conjugate', 'Complex number', 'Like terms', 'Distributive property']"
Y-intercept,"['Cartesian coordinate system', 'Coordinate system', 'Axis', 'Origin (mathematics)', 'Ordered pair']","['Cartesian coordinate system', 'René Descartes', 'Ordered pair', 'Geometry', 'Perpendicular']","['René Descartes', 'Geometry']"
Fraction,[],"['Invertible matrix', 'Matrix (mathematics)', 'Field extension', 'Transpose', '.properties']","['.properties', 'Field extension', 'Matrix (mathematics)', 'Transpose', 'Invertible matrix']"
Solution set,"['Linear equation', 'Heat equation', 'Color space']","['System of linear equations', 'Equation', 'Variable (mathematics)', 'Linear equation', 'Parameter']","['Parameter', 'Equation', 'Variable (mathematics)', 'Color space']"
Ellipsis,"['Integer sequence', 'Sequence', 'Infinite product', 'Quadratic formula', 'Quadrature (mathematics)']","['General officer', 'Sequence', 'Look (American magazine)', 'Fraction', 'Chemical formula']","['Integer sequence', 'Sequence', 'Quadratic formula', 'Look (American magazine)', 'Fraction', 'Quadrature (mathematics)', 'General officer', 'Chemical formula', 'Infinite product']"
Paul Erdős,[],[],[]
Null vector,"['Euclidean vector', 'Conservation law', 'Geometric algebra', 'Vector space']","['Vector space', 'Mathematical proof', 'Matrix (mathematics)', 'Theorem', 'System of linear equations']","['Conservation law', 'Theorem', 'Vector space', 'Euclidean vector', 'System of linear equations', 'Geometric algebra', 'Matrix (mathematics)', 'Mathematical proof']"
Line chart,['Linear equation'],"['Exponential function', 'Linear regression', 'Logarithm', 'Scatter plot', 'Chirp']","['Scatter plot', 'Exponential function', 'Chirp', 'Linear regression', 'Linear equation', 'Logarithm']"
Automatic differentiation,[],"['Linear map', 'Vector space', 'Function (mathematics)', 'Augmented matrix', 'Polynomial']","['Function (mathematics)', 'Augmented matrix', 'Linear map', 'Vector space', 'Polynomial']"
Relativistic quantum mechanics,[],"['Matrix (mathematics)', 'Linear map', 'Matrix multiplication', 'Mathematical proof', 'Vector space']","['Linear map', 'Vector space', 'Matrix multiplication', 'Matrix (mathematics)', 'Mathematical proof']"
Dirac equation,[],"['Matrix (mathematics)', 'Column', 'Linear algebra', 'Rotation', 'Augmented matrix']","['Augmented matrix', 'Linear algebra', 'Column', 'Matrix (mathematics)', 'Rotation']"
Zero-product property,['Quadratic equation'],"['Equation', 'Quadratic equation', 'Factorization', 'Coefficient', 'Expression (mathematics)']","['Factorization', 'Coefficient', 'Expression (mathematics)', 'Quadratic equation', 'Equation']"
List of important publications in mathematics,[],"['System of linear equations', 'Exercise', 'Matrix (mathematics)', 'Variable (mathematics)', 'Plane (geometry)']","['System of linear equations', 'Variable (mathematics)', 'Matrix (mathematics)', 'Exercise', 'Plane (geometry)']"
Matrix unit,['Woodbury matrix identity'],"['Matrix (mathematics)', 'Matrix multiplication', 'Column', 'Zero matrix', 'Identity matrix']","['Identity matrix', 'Matrix multiplication', 'Zero matrix', 'Column', 'Matrix (mathematics)', 'Woodbury matrix identity']"
Anil Nerode,[],[],[]
Absorption law,"['Matrix addition', 'Pauli matrices', 'Scalar multiplication']","['Matrix (mathematics)', 'Zero matrix', 'Associative property', 'Bisexuality', 'Commutative property']","['Matrix addition', 'Bisexuality', 'Associative property', 'Commutative property', 'Zero matrix', 'Pauli matrices', 'Scalar multiplication', 'Matrix (mathematics)']"
Graph (discrete mathematics),"['Geometric series', 'Euclidean vector', 'Geometric algebra', 'Unit vector', 'Vector (mathematics and physics)']","['Cartesian coordinate system', 'Euclidean vector', 'Function (mathematics)', 'Domain of a function', 'Ordered pair']","['Function (mathematics)', 'Unit vector', 'Domain of a function', 'Euclidean vector', 'Vector (mathematics and physics)', 'Cartesian coordinate system', 'Geometric algebra', 'Ordered pair']"
Integration by substitution,"['Gaussian elimination', 'System of linear equations']","['Rugby league positions', 'Multiplication', 'Rho', 'Elementary matrix', 'Example (musician)']","['Multiplication', 'Gaussian elimination', 'Rugby league positions', 'System of linear equations', 'Elementary matrix', 'Rho', 'Example (musician)']"
Orthogonal complement,"['Orthographic projection', 'Orthogonal complement', 'Projection (mathematics)', 'Projection (linear algebra)']","['Orthogonality', 'Vector space', 'Linear subspace', 'Angle', 'Projection (linear algebra)']","['Angle', 'Vector space', 'Linear subspace', 'Orthogonality', 'Projection (mathematics)', 'Projection (linear algebra)']"
Real projective plane,"['Projective geometry', 'Homogeneous coordinates', 'Projective plane', 'Vanish at infinity']","['Projective geometry', 'Row and column vectors', 'Projective line', 'Mathematical model', 'Great circle']","['Vanish at infinity', 'Projective plane', 'Projective geometry', 'Homogeneous coordinates', 'Great circle', 'Projective line', 'Mathematical model', 'Row and column vectors']"
Borel equivalence relation,[],"['Isomorphism', 'Matrix (mathematics)', 'Linear subspace', 'Linear map', 'Vector space']","['Linear map', 'Vector space', 'Linear subspace', 'Isomorphism', 'Matrix (mathematics)']"
Zero divisor,[],"['Matrix multiplication', 'Row and column vectors', 'Matrix (mathematics)', 'Linear map', 'Commutative property']","['Linear map', 'Matrix (mathematics)', 'Matrix multiplication', 'Commutative property', 'Row and column vectors']"
Irreducible polynomial,"['Polynomial', 'Polynomial ring']","['Polynomial', 'Real number', 'Divisor', 'Mathematical proof', 'Corollary']","['Polynomial ring', 'Divisor', 'Corollary', 'Real number', 'Polynomial', 'Mathematical proof']"
Quotient ring,[],"['Simplification', 'Logarithm', 'Cloze test', 'Space (punctuation)', 'Formula']","['Space (punctuation)', 'Cloze test', 'Simplification', 'Formula', 'Logarithm']"
Allan variance,['Correlation'],"['Variance', 'Arithmetic mean', 'Sample mean and covariance', 'Vector space', 'Statistics']","['Vector space', 'Correlation', 'Statistics', 'Arithmetic mean', 'Variance', 'Sample mean and covariance']"
Occupational inequality,[],"['Inequality (mathematics)', 'Interval (music)', 'Interval (mathematics)', 'Mathematical notation', 'Equation']","['Inequality (mathematics)', 'Interval (music)', 'Equation', 'Interval (mathematics)', 'Mathematical notation']"
